"","trip_id","bikeid","checkout_time","station_id","name","subscriber_type","month","year","latitude","longitude"
"1",9900082882,8,19:12:00,2536,"Waller & 6th St.","Walk Up",3,2015,30.26461,-97.73049
"2",12617682,141,02:06:04,2494,"2nd & Congress","Local365",10,2016,30.26408,-97.74355
"3",9075366,578,16:28:27,2538,"Bullock Museum @ Congress & MLK","Local365",3,2016,30.28039,-97.73809
"4",9900319298,555,15:12:00,2497,"Capitol Station / Congress & 11th","24-Hour Kiosk (Austin B-cycle)",11,2014,30.2726,-97.74127
"5",14468597,86,15:39:13,2707,"Rainey St @ Cummings","Walk Up",4,2017,30.25579,-97.73982
"6",9900153369,861,15:12:00,2540,"17th & Guadalupe","Local30",5,2015,30.27974,-97.74254
"7",11114967,382,12:24:16,2567,"Palmer Auditorium","Walk Up",7,2016,30.25971,-97.75346
"8",9900005413,435,13:12:00,2575,"Riverside @ S. Lamar","Walk Up",1,2015,30.26446,-97.75665
"9",9900126917,555,13:12:00,2503,"South Congress & James","24-Hour Kiosk (Austin B-cycle)",5,2014,30.25103,-97.74926
"10",15339050,668,12:27:28,2575,"Riverside @ S. Lamar","Walk Up",NA,NA,30.26446,-97.75665
"11",9900051787,981,20:12:00,2563,"Davis at Rainey Street","24-Hour Kiosk (Austin B-cycle)",3,2014,30.26019,-97.73845
"12",11744697,95,22:57:45,2565,"Trinity & 6th Street","Walk Up",9,2016,30.26735,-97.73933
"13",12298359,518,13:20:32,2565,"Trinity & 6th Street","Walk Up",10,2016,30.26735,-97.73933
"14",14054290,188,22:24:42,2571,"Red River & 8th Street","Local30",3,2017,30.26854,-97.73646
"15",14348890,386,16:15:51,2572,"Barton Springs Pool","Local365",4,2017,30.26452,-97.7712
"16",9900046663,839,17:12:00,2567,"Palmer Auditorium","24-Hour Kiosk (Austin B-cycle)",3,2014,30.25971,-97.75346
"17",11895425,27,06:02:27,2549,"Long Center @ South 1st & Riverside","Local365",9,2016,30.25941,-97.74971
"18",9900149642,680,10:12:00,2539,"Convention Center / 3rd & Trinity","Walk Up",5,2015,30.26426,-97.74023
"19",9900064737,153,19:12:00,2496,"8th & Congress","Walk Up",3,2015,30.2698,-97.74186
"20",9900325324,64,23:12:26,2498,"Convention Center / 4th St. @ MetroRail","Weekender",11,2015,30.26483,-97.739
"21",14622482,751,10:06:18,2495,"4th & Congress",NA,4,2017,30.26634,-97.74378
"22",15076271,223,17:27:12,2572,"Barton Springs Pool","Walk Up",NA,NA,30.26452,-97.7712
"23",9900239573,334,15:12:00,2564,"5th & San Marcos","24-Hour Kiosk (Austin B-cycle)",9,2014,30.26416,-97.73289
"24",9900316939,911,16:12:00,2823,"Capital Metro HQ - East 5th at Broadway","24-Hour Kiosk (Austin B-cycle)",11,2014,30.2563,-97.71007
"25",9900124765,14,12:12:00,2498,"Convention Center / 4th St. @ MetroRail","24-Hour Kiosk (Austin B-cycle)",5,2014,30.26483,-97.739
"26",9900175090,928,12:12:00,2552,"3rd & West","Local365",6,2015,30.2678,-97.75189
"27",9900109433,937,10:12:00,2569,"East 11th St. & San Marcos","Walk Up",4,2015,30.26968,-97.73074
"28",15345321,558,20:31:35,3455,"Republic Square @ Federal Courthouse Plaza","Walk Up",NA,NA,30.26753,-97.74805
"29",9900099068,439,11:12:00,2503,"South Congress & James","24-Hour Kiosk (Austin B-cycle)",4,2014,30.25103,-97.74926
"30",9158682,827,19:54:32,2550,"Republic Square @ Guadalupe & 4th St.","Walk Up",3,2016,30.26774,-97.74692
"31",9900166893,647,08:12:00,2567,"Palmer Auditorium","Annual Membership (Austin B-cycle)",6,2014,30.25971,-97.75346
"32",14193229,396,13:28:04,2547,"Guadalupe & 21st","Walk Up",3,2017,30.28395,-97.74198
"33",10087498,579,01:18:43,2536,"Waller & 6th St.","Local365",5,2016,30.26461,-97.73049
"34",9900142668,311,22:12:00,2552,"3rd & West","Local365",5,2015,30.2678,-97.75189
"35",12016880,391,09:12:38,3455,"Republic Square @ Federal Courthouse Plaza","Local30",9,2016,30.26753,-97.74805
"36",9900150096,22,11:12:00,2575,"Riverside @ S. Lamar","Walk Up",5,2015,30.26446,-97.75665
"37",9900202144,320,17:12:00,2503,"South Congress & James","Walk Up",7,2015,30.25103,-97.74926
"38",9282389,284,13:34:49,2496,"8th & Congress","Local365",3,2016,30.2698,-97.74186
"39",13762072,14,17:21:46,2822,"East 6th at Robert Martinez","Walk Up",2,2017,30.26032,-97.71899
"40",9900030299,751,13:12:00,2570,"South Congress & Academy","Walk Up",2,2015,30.25226,-97.74854
"41",9900090430,195,13:12:00,2499,"City Hall / Lavaca & 2nd","Walk Up",3,2015,30.26476,-97.74678
"42",9900189087,396,18:12:00,2503,"South Congress & James","24-Hour Kiosk (Austin B-cycle)",7,2014,30.25103,-97.74926
"43",9292307,910,13:58:27,2496,"8th & Congress","Local365",3,2016,30.2698,-97.74186
"44",9900184121,260,14:12:00,2565,"Trinity & 6th Street","24-Hour Kiosk (Austin B-cycle)",7,2014,30.26735,-97.73933
"45",9900200511,75,13:12:00,2566,"Pfluger Bridge @ W 2nd Street","Walk Up",7,2015,30.26717,-97.75484
"46",9900087721,911,09:12:00,2707,"Rainey St @ Cummings","Local365",3,2015,30.25579,-97.73982
"47",9900132670,922,15:12:00,2562,"San Jacinto & 8th Street","24-Hour Kiosk (Austin B-cycle)",5,2014,30.26912,-97.73986
"48",9900276108,260,00:12:00,2570,"South Congress & Academy","24-Hour Kiosk (Austin B-cycle)",10,2014,30.25226,-97.74854
"49",9900099921,442,16:12:00,2548,"UT West Mall @ Guadalupe","24-Hour Kiosk (Austin B-cycle)",4,2014,30.28576,-97.74181
"50",9900159302,213,16:12:00,2563,"Davis at Rainey Street","24-Hour Kiosk (Austin B-cycle)",6,2014,30.26019,-97.73845
"51",14781958,910,09:50:14,2711,"Barton Springs @ Kinney Ave","Local30",5,2017,30.262,-97.76118
"52",12309881,884,10:47:56,2565,"Trinity & 6th Street","Walk Up",10,2016,30.26735,-97.73933
"53",12552724,219,17:03:37,2494,"2nd & Congress","Walk Up",10,2016,30.26408,-97.74355
"54",9900351223,976,18:12:37,2548,"UT West Mall @ Guadalupe","Walk Up",12,2015,30.28576,-97.74181
"55",9900064644,579,16:12:00,2494,"2nd & Congress","Walk Up",3,2015,30.26408,-97.74355
"56",8280758,522,12:59:42,2823,"Capital Metro HQ - East 5th at Broadway","Walk Up",1,2016,30.2563,-97.71007
